date-corrected,date,id,text,isRetweet,isDeleted,device,favorites,retweets,stock_time,tweet_minute,tweet_minute_price,stock_time_price,delta_price,delta_bins,price_bins,target
2009-09-29 11:28:23,2009-09-29 15:28:23,4472353826,"""""""A lot of people have imagination, but can't execute--you have to execute with the imagination."""" --Donald J. Trump http://tinyurl.com/pqpfvm""",f,f,Twitter Web Client,138,74,2009-09-29 12:29:00,2009-09-29 11:29:00,39.73,39.67,-0.059999999999995175,no change,no change,1
2009-10-05 10:37:38,2009-10-05 14:37:38,4629116949,"- Read what Donald Trump has to say about daughter Ivanka's upcoming new book, The Trump Card: http://tinyurl.com/ycsqmda",f,f,Twitter Web Client,14,10,2009-10-05 11:38:00,2009-10-05 10:38:00,38.56,38.57,0.009999999999998009,no change,no change,1
2009-10-14 10:13:17,2009-10-14 14:13:17,4862580190,Watch video of Ivanka Trump sharing business advice with 4 entrepreneurial women on GMA: http://tinyurl.com/yk6hlfo,f,f,Twitter Web Client,19,12,2009-10-14 11:14:00,2009-10-14 10:14:00,40.46,40.51,0.049999999999997165,no change,no change,1
2009-10-27 11:31:48,2009-10-27 15:31:48,5203117820,"""--From Donald Trump: """"Ivanka and Jared’s wedding was spectacular, and they make a beautiful couple. I’m a very proud father.""""""",f,f,Twitter Web Client,14,11,2009-10-27 12:32:00,2009-10-27 11:32:00,39.26,39.19,-0.07000000000000027,no change,no change,1
2009-11-02 10:57:56,2009-11-02 14:57:56,5364614040,"--Work has begun, ahead of schedule, to build the greatest golf course in history: Trump International – Scotland.",f,f,Twitter Web Client,12,12,2009-11-02 11:58:00,2009-11-02 10:58:00,38.49,38.5,0.009999999999998009,no change,no change,1
2010-01-12 14:05:08,2010-01-12 18:05:08,7677152231,"Celebrity Apprentice returns to NBC, Sunday, 3/14, 9-11PM ET/PT. Outstanding list of celebrities & season should be the best one yet!",f,f,Twitter Web Client,8,26,2010-01-12 15:06:00,2010-01-12 14:06:00,42.2,42.2,0.0,no change,no change,1
2010-01-15 12:28:02,2010-01-15 16:28:02,7793032738,Trump Tycoon App for iPhone & iPod Touch - It's $2.99 but the advice is priceless! http://bit.ly/UGUF0,f,f,Twitter Web Client,331,264,2010-01-15 13:29:00,2010-01-15 12:29:00,42.06,42.11,0.049999999999997165,no change,no change,1
2010-01-21 12:58:43,2010-01-21 16:58:43,8033746720,"""from Donald Trump: """"I saw Lady Gaga last night and she was fantastic!""""""",f,f,Twitter Web Client,8015,8556,2010-01-21 13:59:00,2010-01-21 12:59:00,41.56,41.7,0.14000000000000054,increase,no change,2
2010-02-10 11:17:56,2010-02-10 15:17:56,8905123688,Donald Trump appearing today on CNN International’s ‘Connect the World’ as ‘Connector of the Day’. Submit questions: http://bit.ly/bPiP7T,f,f,Twitter Web Client,9,13,2010-02-10 12:18:00,2010-02-10 11:18:00,39.69,39.77,0.0800000000000054,no change,no change,1
2010-03-15 14:21:52,2010-03-15 18:21:52,10528960360,The new season of the Celebrity Apprentice is off to a great start-- last night it swept the 10 p.m. hour in every key demographic.,f,f,Twitter Web Client,7,28,2010-03-15 15:22:00,2010-03-15 14:22:00,42.89,43.05,0.1599999999999966,increase,no change,2
